Entity,Code,Year,Fossil fuels (TWh growth – sub method)
Algeria,DZA,1996,-3.049
Algeria,DZA,1997,-11.888
Algeria,DZA,1998,10.075
Algeria,DZA,1999,3.121
Algeria,DZA,2000,-11.048
Algeria,DZA,2001,10.824
Algeria,DZA,2002,11.174
Algeria,DZA,2003,14.369
Algeria,DZA,2004,12.901
Algeria,DZA,2005,15.627
Algeria,DZA,2006,13.919
Algeria,DZA,2007,20.4
Algeria,DZA,2008,23.761
Algeria,DZA,2009,25.143
Algeria,DZA,2010,-10.978
Algeria,DZA,2011,26.469
Algeria,DZA,2012,43.136
Algeria,DZA,2013,30.097
Algeria,DZA,2014,48.296
Algeria,DZA,2015,31.995
Algeria,DZA,2016,-0.947
Algeria,DZA,2017,6.091
Algeria,DZA,2018,48.192
Algeria,DZA,2019,32.861
Argentina,ARG,1966,10.365
Argentina,ARG,1967,9.533
Argentina,ARG,1968,10.9
Argentina,ARG,1969,12.283
Argentina,ARG,1970,-20.482
Argentina,ARG,1971,21.029
Argentina,ARG,1972,6.478
Argentina,ARG,1973,11.589
Argentina,ARG,1974,8.032
Argentina,ARG,1975,-14.578
Argentina,ARG,1976,21.442
Argentina,ARG,1977,18.72
Argentina,ARG,1978,-0.42
Argentina,ARG,1979,18.722
Argentina,ARG,1980,-11.909
Argentina,ARG,1981,-16.552
Argentina,ARG,1982,5.142
Argentina,ARG,1983,13.648
Argentina,ARG,1984,-8.206
Argentina,ARG,1985,-16.763
Argentina,ARG,1986,47.132
Argentina,ARG,1987,18.63
Argentina,ARG,1988,27.879
Argentina,ARG,1989,-14.19
Argentina,ARG,1990,-25.222
Argentina,ARG,1991,9.185
Argentina,ARG,1992,31.254
Argentina,ARG,1993,5.642
Argentina,ARG,1994,-2.975
Argentina,ARG,1995,25.658
Argentina,ARG,1996,48.581
Argentina,ARG,1997,-24.966
Argentina,ARG,1998,26.831
Argentina,ARG,1999,1.913
Argentina,ARG,2000,8.305
Argentina,ARG,2001,-30.835
Argentina,ARG,2002,-27.786
Argentina,ARG,2003,49.193
Argentina,ARG,2004,47.23
Argentina,ARG,2005,40.88
Argentina,ARG,2006,25.251
Argentina,ARG,2007,53.852
Argentina,ARG,2008,16.117
Argentina,ARG,2009,-27.561
Argentina,ARG,2010,41.842
Argentina,ARG,2011,19.13
Argentina,ARG,2012,30.272
Argentina,ARG,2013,29.364
Argentina,ARG,2014,-4.892
Argentina,ARG,2015,15.116
Argentina,ARG,2016,4.032
Argentina,ARG,2017,-8.242
Argentina,ARG,2018,-10.357
Argentina,ARG,2019,-24.482
Australia,AUS,1966,40.301
Australia,AUS,1967,26.201
Australia,AUS,1968,27.607
Australia,AUS,1969,18.568
Australia,AUS,1970,43.341
Australia,AUS,1971,24.747
Australia,AUS,1972,27.098
Australia,AUS,1973,40.91
Australia,AUS,1974,37.559
Australia,AUS,1975,8.81
Australia,AUS,1976,27.374
Australia,AUS,1977,38.859
Australia,AUS,1978,16.351
Australia,AUS,1979,32.824
Australia,AUS,1980,7.89
Australia,AUS,1981,5.812
Australia,AUS,1982,2.212
Australia,AUS,1983,3.816
Australia,AUS,1984,34.232
Australia,AUS,1985,4.478
Australia,AUS,1986,29.934
Australia,AUS,1987,25.762
Australia,AUS,1988,41.325
Australia,AUS,1989,47.824
Australia,AUS,1990,17.04
Australia,AUS,1991,-9.137
Australia,AUS,1992,9.971
Australia,AUS,1993,28.986
Australia,AUS,1994,44.105
Australia,AUS,1995,31.171
Australia,AUS,1996,28.095
Australia,AUS,1997,30.059
Australia,AUS,1998,28.712
Australia,AUS,1999,53.247
Australia,AUS,2000,5.535
Australia,AUS,2001,13.16
Australia,AUS,2002,18.092
Australia,AUS,2003,18.638
Australia,AUS,2004,43.764
Australia,AUS,2005,-8.814
Australia,AUS,2006,83.306
Australia,AUS,2007,18.936
Australia,AUS,2008,23.296
Australia,AUS,2009,-19.447
Australia,AUS,2010,-5.534
Australia,AUS,2011,32.474
Australia,AUS,2012,-15.666
Australia,AUS,2013,-0.311
Australia,AUS,2014,30.975
Australia,AUS,2015,18.275
Australia,AUS,2016,0.402
Australia,AUS,2017,2.194
Australia,AUS,2018,7.868
Australia,AUS,2019,101.511
Austria,AUT,1966,5.136
Austria,AUT,1967,0.953
Austria,AUT,1968,12.438
Austria,AUT,1969,12.023
Austria,AUT,1970,18.704
Austria,AUT,1971,12.151
Austria,AUT,1972,7.359
Austria,AUT,1973,14.002
Austria,AUT,1974,-8.906
Austria,AUT,1975,-5.101
Austria,AUT,1976,19.38
Austria,AUT,1977,-12.174
Austria,AUT,1978,12.533
Austria,AUT,1979,8.695
Austria,AUT,1980,-4.339
Austria,AUT,1981,-14.491
Austria,AUT,1982,-10.343
Austria,AUT,1983,0.031
Austria,AUT,1984,8.082
Austria,AUT,1985,3.718
Austria,AUT,1986,-0.85
Austria,AUT,1987,5.544
Austria,AUT,1988,-5.089
Austria,AUT,1989,2.313
Austria,AUT,1990,15.056
Austria,AUT,1991,16.326
Austria,AUT,1992,-15.924
Austria,AUT,1993,0.526
Austria,AUT,1994,1.256
Austria,AUT,1995,10.976
Austria,AUT,1996,9.75
Austria,AUT,1997,1.718
Austria,AUT,1998,2.38
Austria,AUT,1999,-1.082
Austria,AUT,2000,-1.844
Austria,AUT,2001,18.179
Austria,AUT,2002,2.557
Austria,AUT,2003,24.04
Austria,AUT,2004,-4.682
Austria,AUT,2005,3.97
Austria,AUT,2006,-5.906
Austria,AUT,2007,-16.145
Austria,AUT,2008,3.92
Austria,AUT,2009,-21.046
Austria,AUT,2010,20.109
Austria,AUT,2011,-14.789
Austria,AUT,2012,-7.115
Austria,AUT,2013,0.938
Austria,AUT,2014,-16.081
Austria,AUT,2015,6.8
Austria,AUT,2016,5.89
Austria,AUT,2017,10.612
Austria,AUT,2018,-4.865
Austria,AUT,2019,6.978
Azerbaijan,AZE,1986,19.363
Azerbaijan,AZE,1987,-7.809
Azerbaijan,AZE,1988,0.498
Azerbaijan,AZE,1989,4.836
Azerbaijan,AZE,1990,7.657
Azerbaijan,AZE,1991,-10.489
Azerbaijan,AZE,1992,-35.869
Azerbaijan,AZE,1993,-30.372
Azerbaijan,AZE,1994,-13.344
Azerbaijan,AZE,1995,-9.405
Azerbaijan,AZE,1996,-28.817
Azerbaijan,AZE,1997,-6.099
Azerbaijan,AZE,1998,-0.21
Azerbaijan,AZE,1999,0.761
Azerbaijan,AZE,2000,5.455
Azerbaijan,AZE,2001,-4.05
Azerbaijan,AZE,2002,-3.548
Azerbaijan,AZE,2003,9.022
Azerbaijan,AZE,2004,17.378
Azerbaijan,AZE,2005,12.256
Azerbaijan,AZE,2006,-1.302
Azerbaijan,AZE,2007,-15.146
Azerbaijan,AZE,2008,1.824
Azerbaijan,AZE,2009,-17.57
Azerbaijan,AZE,2010,-4.725
Azerbaijan,AZE,2011,16.691
Azerbaijan,AZE,2012,6.627
Azerbaijan,AZE,2013,4.902
Azerbaijan,AZE,2014,3.49
Azerbaijan,AZE,2015,13.743
Azerbaijan,AZE,2016,-2.547
Azerbaijan,AZE,2017,-2.653
Azerbaijan,AZE,2018,4.646
Azerbaijan,AZE,2019,11.58
Bangladesh,BGD,1972,7.267
Bangladesh,BGD,1973,3.301
Bangladesh,BGD,1974,0.899
Bangladesh,BGD,1975,2.205
Bangladesh,BGD,1976,3.228
Bangladesh,BGD,1977,0.861
Bangladesh,BGD,1978,1.914
Bangladesh,BGD,1979,2.92
Bangladesh,BGD,1980,4.123
Bangladesh,BGD,1981,0.137
Bangladesh,BGD,1982,4.103
Bangladesh,BGD,1983,-0.862
Bangladesh,BGD,1984,2.557
Bangladesh,BGD,1985,5.299
Bangladesh,BGD,1986,5.117
Bangladesh,BGD,1987,5.25
Bangladesh,BGD,1988,6.125
Bangladesh,BGD,1989,4.313
Bangladesh,BGD,1990,4.349
Bangladesh,BGD,1991,-2.466
Bangladesh,BGD,1992,6.58
Bangladesh,BGD,1993,8.281
Bangladesh,BGD,1994,4.548
Bangladesh,BGD,1995,17.823
Bangladesh,BGD,1996,4.009
Bangladesh,BGD,1997,5.747
Bangladesh,BGD,1998,7.237
Bangladesh,BGD,1999,1.521
Bangladesh,BGD,2000,9.384
Bangladesh,BGD,2001,18.762
Bangladesh,BGD,2002,5.657
Bangladesh,BGD,2003,9.619
Bangladesh,BGD,2004,5.857
Bangladesh,BGD,2005,13.804
Bangladesh,BGD,2006,15.836
Bangladesh,BGD,2007,4.834
Bangladesh,BGD,2008,11.658
Bangladesh,BGD,2009,23.481
Bangladesh,BGD,2010,4.96
Bangladesh,BGD,2011,21.306
Bangladesh,BGD,2012,19.379
Bangladesh,BGD,2013,8.897
Bangladesh,BGD,2014,13.072
Bangladesh,BGD,2015,54.202
Bangladesh,BGD,2016,5.04
Bangladesh,BGD,2017,13.256
Bangladesh,BGD,2018,25.226
Bangladesh,BGD,2019,76.521
Belarus,BLR,1986,57.795
Belarus,BLR,1987,6.781
Belarus,BLR,1988,6.786
Belarus,BLR,1989,-15.744
Belarus,BLR,1990,-19.088
Belarus,BLR,1991,-4.798
Belarus,BLR,1992,-23.694
Belarus,BLR,1993,-82.851
Belarus,BLR,1994,-55.542
Belarus,BLR,1995,-25.739
Belarus,BLR,1996,6.397
Belarus,BLR,1997,2.572
Belarus,BLR,1998,-5.61
Belarus,BLR,1999,-6.77
Belarus,BLR,2000,6.846
Belarus,BLR,2001,-6.44
Belarus,BLR,2002,7.413
Belarus,BLR,2003,-1.142
Belarus,BLR,2004,32.231
Belarus,BLR,2005,-1.034
Belarus,BLR,2006,17.817
Belarus,BLR,2007,-7.177
Belarus,BLR,2008,3.361
Belarus,BLR,2009,-15.864
Belarus,BLR,2010,17.393
Belarus,BLR,2011,-1.659
Belarus,BLR,2012,24.134
Belarus,BLR,2013,-38.473
Belarus,BLR,2014,9.331
Belarus,BLR,2015,-27.079
Belarus,BLR,2016,-1.62
Belarus,BLR,2017,4.573
Belarus,BLR,2018,18.293
Belarus,BLR,2019,2.533
Belgium,BEL,1966,-15.179
Belgium,BEL,1967,19.727
Belgium,BEL,1968,47.838
Belgium,BEL,1969,45.51
Belgium,BEL,1970,28.67
Belgium,BEL,1971,-9.764
Belgium,BEL,1972,33.231
Belgium,BEL,1973,7.065
Belgium,BEL,1974,-19.926
Belgium,BEL,1975,-51.345
Belgium,BEL,1976,22.634
Belgium,BEL,1977,-5.323
Belgium,BEL,1978,22.445
Belgium,BEL,1979,19.539
Belgium,BEL,1980,-28.539
Belgium,BEL,1981,-28.965
Belgium,BEL,1982,-30.452
Belgium,BEL,1983,-39.797
Belgium,BEL,1984,12.137
Belgium,BEL,1985,3.528
Belgium,BEL,1986,3.379
Belgium,BEL,1987,9.309
Belgium,BEL,1988,8.384
Belgium,BEL,1989,9.843
Belgium,BEL,1990,31.008
Belgium,BEL,1991,21.312
Belgium,BEL,1992,-4.249
Belgium,BEL,1993,-5.733
Belgium,BEL,1994,38.74
Belgium,BEL,1995,3.675
Belgium,BEL,1996,37.569
Belgium,BEL,1997,-4.735
Belgium,BEL,1998,17.592
Belgium,BEL,1999,-14.277
Belgium,BEL,2000,18.51
Belgium,BEL,2001,-0.312
Belgium,BEL,2002,-5.157
Belgium,BEL,2003,28.729
Belgium,BEL,2004,2.813
Belgium,BEL,2005,-10.477
Belgium,BEL,2006,2.724
Belgium,BEL,2007,-0.142
Belgium,BEL,2008,18.667
Belgium,BEL,2009,-59.292
Belgium,BEL,2010,40.983
Belgium,BEL,2011,-57.723
Belgium,BEL,2012,-12.299
Belgium,BEL,2013,9.684
Belgium,BEL,2014,-27.595
Belgium,BEL,2015,25.639
Belgium,BEL,2016,7.453
Belgium,BEL,2017,8.238
Belgium,BEL,2018,12.451
Belgium,BEL,2019,-6.978
Brazil,BRA,1966,17.84
Brazil,BRA,1967,7.005
Brazil,BRA,1968,39.882
Brazil,BRA,1969,25.992
Brazil,BRA,1970,38.232
Brazil,BRA,1971,31.031
Brazil,BRA,1972,51.363
Brazil,BRA,1973,87.09
Brazil,BRA,1974,40.157
Brazil,BRA,1975,22.453
Brazil,BRA,1976,45.44
Brazil,BRA,1977,24.631
Brazil,BRA,1978,59.79
Brazil,BRA,1979,37.438
Brazil,BRA,1980,-15.303
Brazil,BRA,1981,-31.573
Brazil,BRA,1982,16.01
Brazil,BRA,1983,-17.541
Brazil,BRA,1984,28.747
Brazil,BRA,1985,31.893
Brazil,BRA,1986,67.96
Brazil,BRA,1987,28.118
Brazil,BRA,1988,14.822
Brazil,BRA,1989,5.132
Brazil,BRA,1990,-25.384
Brazil,BRA,1991,25.329
Brazil,BRA,1992,54.85
Brazil,BRA,1993,40.305
Brazil,BRA,1994,59.965
Brazil,BRA,1995,47.65
Brazil,BRA,1996,65.044
Brazil,BRA,1997,74.856
Brazil,BRA,1998,42.161
Brazil,BRA,1999,29.799
Brazil,BRA,2000,12.417
Brazil,BRA,2001,40.364
Brazil,BRA,2002,-3.627
Brazil,BRA,2003,-7.743
Brazil,BRA,2004,71.394
Brazil,BRA,2005,24.111
Brazil,BRA,2006,28.656
Brazil,BRA,2007,57.795
Brazil,BRA,2008,90.445
Brazil,BRA,2009,-91.395
Brazil,BRA,2010,212.851
Brazil,BRA,2011,90.17
Brazil,BRA,2012,91.267
Brazil,BRA,2013,151.465
Brazil,BRA,2014,79.634
Brazil,BRA,2015,-69.304
Brazil,BRA,2016,-150.134
Brazil,BRA,2017,34.764
Brazil,BRA,2018,-77.061
Brazil,BRA,2019,-1.301
Bulgaria,BGR,1966,8.61
Bulgaria,BGR,1967,20.74
Bulgaria,BGR,1968,19.717
Bulgaria,BGR,1969,17.551
Bulgaria,BGR,1970,22.365
Bulgaria,BGR,1971,8.585
Bulgaria,BGR,1972,6.543
Bulgaria,BGR,1973,7.351
Bulgaria,BGR,1974,5.773
Bulgaria,BGR,1975,19.565
Bulgaria,BGR,1976,7.3
Bulgaria,BGR,1977,10.883
Bulgaria,BGR,1978,12.255
Bulgaria,BGR,1979,9.677
Bulgaria,BGR,1980,16.592
Bulgaria,BGR,1981,-13.059
Bulgaria,BGR,1982,5.154
Bulgaria,BGR,1983,-3.055
Bulgaria,BGR,1984,-2.887
Bulgaria,BGR,1985,-0.669
Bulgaria,BGR,1986,9.503
Bulgaria,BGR,1987,0.998
Bulgaria,BGR,1988,-2.299
Bulgaria,BGR,1989,0.793
Bulgaria,BGR,1990,-25.163
Bulgaria,BGR,1991,-58.126
Bulgaria,BGR,1992,-10.513
Bulgaria,BGR,1993,9.088
Bulgaria,BGR,1994,-12.317
Bulgaria,BGR,1995,10.78
Bulgaria,BGR,1996,-4.053
Bulgaria,BGR,1997,-13.627
Bulgaria,BGR,1998,-8.571
Bulgaria,BGR,1999,-26.611
Bulgaria,BGR,2000,-5.075
Bulgaria,BGR,2001,8.313
Bulgaria,BGR,2002,-9.067
Bulgaria,BGR,2003,12.662
Bulgaria,BGR,2004,-5.757
Bulgaria,BGR,2005,9.865
Bulgaria,BGR,2006,4.088
Bulgaria,BGR,2007,9.272
Bulgaria,BGR,2008,-6.578
Bulgaria,BGR,2009,-28.55
Bulgaria,BGR,2010,2.861
Bulgaria,BGR,2011,15.759
Bulgaria,BGR,2012,-13.79
Bulgaria,BGR,2013,-15.918
Bulgaria,BGR,2014,7.434
Bulgaria,BGR,2015,11.104
Bulgaria,BGR,2016,-8.486
Bulgaria,BGR,2017,7.963
Bulgaria,BGR,2018,-9.466
Bulgaria,BGR,2019,-4.117
Canada,CAN,1966,51.449
Canada,CAN,1967,58.908
Canada,CAN,1968,90.398
Canada,CAN,1969,58.168
Canada,CAN,1970,99.6
Canada,CAN,1971,36.631
Canada,CAN,1972,82.064
Canada,CAN,1973,82.886
Canada,CAN,1974,24.22
Canada,CAN,1975,-11.113
Canada,CAN,1976,90.598
Canada,CAN,1977,91.332
Canada,CAN,1978,-22.894
Canada,CAN,1979,39.217
Canada,CAN,1980,26.056
Canada,CAN,1981,-78.927
Canada,CAN,1982,-61.425
Canada,CAN,1983,-68.268
Canada,CAN,1984,96.226
Canada,CAN,1985,15.001
Canada,CAN,1986,-42.79
Canada,CAN,1987,61.641
Canada,CAN,1988,124.973
Canada,CAN,1989,84.047
Canada,CAN,1990,-51.296
Canada,CAN,1991,-59.318
Canada,CAN,1992,62.22
Canada,CAN,1993,10.143
Canada,CAN,1994,58.277
Canada,CAN,1995,74.915
Canada,CAN,1996,46.804
Canada,CAN,1997,68.869
Canada,CAN,1998,30.775
Canada,CAN,1999,61.807
Canada,CAN,2000,69.839
Canada,CAN,2001,-21.817
Canada,CAN,2002,67.499
Canada,CAN,2003,61.903
Canada,CAN,2004,0.428
Canada,CAN,2005,-22.865
Canada,CAN,2006,-37.956
Canada,CAN,2007,105.328
Canada,CAN,2008,-41.304
Canada,CAN,2009,-166.647
Canada,CAN,2010,116.84
Canada,CAN,2011,93.085
Canada,CAN,2012,-53.358
Canada,CAN,2013,67.521
Canada,CAN,2014,59.789
Canada,CAN,2015,-26.054
Canada,CAN,2016,-29.836
Canada,CAN,2017,31.601
Canada,CAN,2018,93.776
Canada,CAN,2019,-30.174
Chile,CHL,1966,4.623
Chile,CHL,1967,1.269
Chile,CHL,1968,1.724
Chile,CHL,1969,4.793
Chile,CHL,1970,3.923
Chile,CHL,1971,5.683
Chile,CHL,1972,0.615
Chile,CHL,1973,-3.444
Chile,CHL,1974,-3.167
Chile,CHL,1975,-9.543
Chile,CHL,1976,3.758
Chile,CHL,1977,2.294
Chile,CHL,1978,4.676
Chile,CHL,1979,2.749
Chile,CHL,1980,2.125
Chile,CHL,1981,1.965
Chile,CHL,1982,-11.396
Chile,CHL,1983,0.567
Chile,CHL,1984,3.728
Chile,CHL,1985,-1.531
Chile,CHL,1986,2.495
Chile,CHL,1987,2.816
Chile,CHL,1988,14.377
Chile,CHL,1989,19.268
Chile,CHL,1990,10.467
Chile,CHL,1991,6.658
Chile,CHL,1992,6.305
Chile,CHL,1993,9.601
Chile,CHL,1994,10.824
Chile,CHL,1995,12.234
Chile,CHL,1996,18.614
Chile,CHL,1997,29.078
Chile,CHL,1998,11.163
Chile,CHL,1999,17.696
Chile,CHL,2000,1.534
Chile,CHL,2001,-5.613
Chile,CHL,2002,6.818
Chile,CHL,2003,0.428
Chile,CHL,2004,20.109
Chile,CHL,2005,1.71
Chile,CHL,2006,17.894
Chile,CHL,2007,20.778
Chile,CHL,2008,-10.447
Chile,CHL,2009,-9.291
Chile,CHL,2010,10.29
Chile,CHL,2011,33.449
Chile,CHL,2012,5.736
Chile,CHL,2013,2.428
Chile,CHL,2014,-14.108
Chile,CHL,2015,2.668
Chile,CHL,2016,24.051
Chile,CHL,2017,-8.679
Chile,CHL,2018,10.731
Chile,CHL,2019,-3.978
China,CHN,1966,131.964
China,CHN,1967,-159.066
China,CHN,1968,5.317
China,CHN,1969,327.341
China,CHN,1970,514.213
China,CHN,1971,423.528
China,CHN,1972,207.252
China,CHN,1973,156.596
China,CHN,1974,85.533
China,CHN,1975,387.956
China,CHN,1976,192.66
China,CHN,1977,344.589
China,CHN,1978,415.48
China,CHN,1979,124.033
China,CHN,1980,66.317
China,CHN,1981,-85.559
China,CHN,1982,186.992
China,CHN,1983,287.981
China,CHN,1984,387.365
China,CHN,1985,450.501
China,CHN,1986,290.84
China,CHN,1987,492.61
China,CHN,1988,492.258
China,CHN,1989,344.199
China,CHN,1990,78.522
China,CHN,1991,408.946
China,CHN,1992,427.307
China,CHN,1993,613.475
China,CHN,1994,502.764
China,CHN,1995,243.057
China,CHN,1996,549.806
China,CHN,1997,37.552
China,CHN,1998,8.082
China,CHN,1999,389.579
China,CHN,2000,318.668
China,CHN,2001,513.58
China,CHN,2002,1066.522
China,CHN,2003,2196.731
China,CHN,2004,2478.863
China,CHN,2005,2386.442
China,CHN,2006,1909.564
China,CHN,2007,1844.542
China,CHN,2008,488.646
China,CHN,2009,1140.783
China,CHN,2010,1559.4
China,CHN,2011,2256.202
China,CHN,2012,699.468
China,CHN,2013,941.796
China,CHN,2014,239.777
China,CHN,2015,3.345
China,CHN,2016,27.157
China,CHN,2017,655.02
China,CHN,2018,861.355
China,CHN,2019,1123.784
Colombia,COL,1966,6.819
Colombia,COL,1967,4.955
Colombia,COL,1968,4.084
Colombia,COL,1969,0.342
Colombia,COL,1970,8.274
Colombia,COL,1971,-3.082
Colombia,COL,1972,12.581
Colombia,COL,1973,-1.936
Colombia,COL,1974,13
Colombia,COL,1975,-0.09
Colombia,COL,1976,4.89
Colombia,COL,1977,2.972
Colombia,COL,1978,6.667
Colombia,COL,1979,7.389
Colombia,COL,1980,-0.207
Colombia,COL,1981,4.961
Colombia,COL,1982,5.938
Colombia,COL,1983,9.788
Colombia,COL,1984,0.582
Colombia,COL,1985,4.858
Colombia,COL,1986,-0.752
Colombia,COL,1987,14.789
Colombia,COL,1988,-3.372
Colombia,COL,1989,6.806
Colombia,COL,1990,-19.084
Colombia,COL,1991,8.907
Colombia,COL,1992,26.706
Colombia,COL,1993,11.439
Colombia,COL,1994,9.912
Colombia,COL,1995,5.017
Colombia,COL,1996,-0.96
Colombia,COL,1997,20.275
Colombia,COL,1998,3.771
Colombia,COL,1999,-33.533
Colombia,COL,2000,-0.156
Colombia,COL,2001,-6.64
Colombia,COL,2002,-6.947
Colombia,COL,2003,5.211
Colombia,COL,2004,0.25
Colombia,COL,2005,-1.189
Colombia,COL,2006,30.196
Colombia,COL,2007,-2.453
Colombia,COL,2008,24.347
Colombia,COL,2009,-4.512
Colombia,COL,2010,27.048
Colombia,COL,2011,-2.436
Colombia,COL,2012,31.65
Colombia,COL,2013,15.432
Colombia,COL,2014,23.071
Colombia,COL,2015,3.331
Colombia,COL,2016,21.399
Colombia,COL,2017,-16.561
Colombia,COL,2018,5.77
Colombia,COL,2019,33.025
Croatia,HRV,1991,-21.782
Croatia,HRV,1992,0.225
Croatia,HRV,1993,2.848
Croatia,HRV,1994,-1.718
Croatia,HRV,1995,2.244
Croatia,HRV,1996,-0.055
Croatia,HRV,1997,5.085
Croatia,HRV,1998,4.85
Croatia,HRV,1999,-0.478
Croatia,HRV,2000,-2.954
Croatia,HRV,2001,2.956
Croatia,HRV,2002,4.121
Croatia,HRV,2003,5.948
Croatia,HRV,2004,-1.946
Croatia,HRV,2005,0.521
Croatia,HRV,2006,-0.033
Croatia,HRV,2007,5.981
Croatia,HRV,2008,-3.612
Croatia,HRV,2009,-5.909
Croatia,HRV,2010,-3.051
Croatia,HRV,2011,-2.643
Croatia,HRV,2012,-7.004
Croatia,HRV,2013,-2.428
Croatia,HRV,2014,-1.698
Croatia,HRV,2015,1.715
Croatia,HRV,2016,1.724
Croatia,HRV,2017,3.453
Croatia,HRV,2018,-2.431
Croatia,HRV,2019,0.653
Cyprus,CYP,1966,0.658
Cyprus,CYP,1967,0.449
Cyprus,CYP,1968,0.64
Cyprus,CYP,1969,1.163
Cyprus,CYP,1970,0.415
Cyprus,CYP,1971,1.544
Cyprus,CYP,1972,1.189
Cyprus,CYP,1973,0.782
Cyprus,CYP,1974,-1.306
Cyprus,CYP,1975,-1.683
Cyprus,CYP,1976,0.143
Cyprus,CYP,1977,1.124
Cyprus,CYP,1978,0.248
Cyprus,CYP,1979,0.148
Cyprus,CYP,1980,0.086
Cyprus,CYP,1981,-0.422
Cyprus,CYP,1982,1.958
Cyprus,CYP,1983,0.617
Cyprus,CYP,1984,0.182
Cyprus,CYP,1985,0.953
Cyprus,CYP,1986,0.578
Cyprus,CYP,1987,3.137
Cyprus,CYP,1988,0.564
Cyprus,CYP,1989,0.467
Cyprus,CYP,1990,0.963
Cyprus,CYP,1991,0.238
Cyprus,CYP,1992,3.285
Cyprus,CYP,1993,0.893
Cyprus,CYP,1994,0.042
Cyprus,CYP,1995,1.498
Cyprus,CYP,1996,0.374
Cyprus,CYP,1997,0.247
Cyprus,CYP,1998,1.595
Cyprus,CYP,1999,1.434
Cyprus,CYP,2000,1.38
Cyprus,CYP,2001,0.349
Cyprus,CYP,2002,-0.424
Cyprus,CYP,2003,1.902
Cyprus,CYP,2004,-0.862
Cyprus,CYP,2005,3.764
Cyprus,CYP,2006,-0.583
Cyprus,CYP,2007,0.558
Cyprus,CYP,2008,0.677
Cyprus,CYP,2009,-0.913
Cyprus,CYP,2010,-1.056
Cyprus,CYP,2011,-0.648
Cyprus,CYP,2012,-2.334
Cyprus,CYP,2013,-3.503
Cyprus,CYP,2014,0.106
Cyprus,CYP,2015,0.674
Cyprus,CYP,2016,2.501
Cyprus,CYP,2017,0.84
Cyprus,CYP,2018,-0.207
Cyprus,CYP,2019,-0.105
Czechia,CZE,1966,3.885
Czechia,CZE,1967,-6.73
Czechia,CZE,1968,21.22
Czechia,CZE,1969,21.438
Czechia,CZE,1970,19.823
Czechia,CZE,1971,28.315
Czechia,CZE,1972,2.979
Czechia,CZE,1973,3.86
Czechia,CZE,1974,3.825
Czechia,CZE,1975,23.143
Czechia,CZE,1976,17.517
Czechia,CZE,1977,18.379
Czechia,CZE,1978,9.159
Czechia,CZE,1979,5.338
Czechia,CZE,1980,-20.587
Czechia,CZE,1981,-3.611
Czechia,CZE,1982,-6.065
Czechia,CZE,1983,0.45
Czechia,CZE,1984,18.432
Czechia,CZE,1985,-3.181
Czechia,CZE,1986,-4.209
Czechia,CZE,1987,0.044
Czechia,CZE,1988,0.777
Czechia,CZE,1989,-20.473
Czechia,CZE,1990,-88.305
Czechia,CZE,1991,-47.607
Czechia,CZE,1992,-15.94
